"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test checks that if a product has a review, then the product card has a rating","1161","test_check_card_rating","tests","Sun Aug 17 01:37:31 UTC 2025","passed","Sun Aug 17 01:37:32 UTC 2025","TestMainPage","test_main_page","",""
"Check 'Tops' subsection link click in 'Men' section redirects to the Tops-men page and         the 'Tops' header is displayed","2765","TC 01.03.18 correctness of the ""Tops"" link of the ""Men"" section","tests","Sun Aug 17 01:35:29 UTC 2025","passed","Sun Aug 17 01:35:32 UTC 2025","TestHeader","test_header","",""
"Checks if text of Privacy and Cookie Policy link matches expected on each page in DATA_1","1291","TC 02.01.12 - Check text of Privacy and Cookie Policy link on each page specified in DATA_1","tests","Sun Aug 17 01:30:24 UTC 2025","passed","Sun Aug 17 01:30:25 UTC 2025","TestFooter","test_footer","",""
"This test checks for the same titles after clicking on the product card and going to the product page","3270","test_check_for_duplicate_titles_after_clicking_on_the_card","tests","Sun Aug 17 01:37:24 UTC 2025","passed","Sun Aug 17 01:37:27 UTC 2025","TestMainPage","test_main_page","",""
"Verify that the link 'Pants' is displayed and clickable","1869","TC 14.04.02 Verify the link 'Pants' is visible and clickable.","tests","Sun Aug 17 01:45:20 UTC 2025","passed","Sun Aug 17 01:45:22 UTC 2025","TestMenPage","test_men","",""
" Verify presence of Password label and the required asterisk ","963","TC 04_01_13 Verify presence of Password label and the required asterisk","tests","Sun Aug 17 01:28:42 UTC 2025","passed","Sun Aug 17 01:28:43 UTC 2025","TestCreateAnAccount","test_create_an_account","",""
"This test checks if block 5 'home-eco' in section 2 in Promo Block under header is clickable","7349","TC 13.01.54 - Check if block 5 'home-eco' in section 2 is clickablein the Promo Block on the main page","tests","Sun Aug 17 01:43:32 UTC 2025","broken","Sun Aug 17 01:43:40 UTC 2025","TestMainPage","test_main_page","",""
"This test checks if info block in section 2 block 1 'home-pants' is displayed","6449","TC 13.01.17 - Check the display of the info block in block 1 'home-pants' in the Promo Block","tests","Sun Aug 17 01:39:48 UTC 2025","broken","Sun Aug 17 01:39:55 UTC 2025","TestMainPage","test_main_page","",""
"This test checks ""Orders and Returns"" form header is visible and has correct text","53","TC 05.01.02 - Verify that 'Order and Returns' form header is present","tests","Sun Aug 17 01:45:42 UTC 2025","passed","Sun Aug 17 01:45:42 UTC 2025","TestOrdersAndReturnsPage","test_orders_and_returns","",""
"Checks if placeholder in Email field is present in the DOM tree on each page specified in DATA_1","0","TC 02.01.49 - Check placeholder in Subscribe Email Field is present in the DOM tree on each page specified in DATA_1","tests","Sun Aug 17 01:31:30 UTC 2025","skipped","Sun Aug 17 01:31:30 UTC 2025","TestFooter","test_footer","",""
"","1528","TC 14.02.04 Verify the link 'Bottoms' is visible and clickable.","tests","Sun Aug 17 01:44:33 UTC 2025","passed","Sun Aug 17 01:44:34 UTC 2025","TestMenPage","test_men","",""
"Check that six links in Women's Deals section lead to the correct pages after click","1496","TC 10.01.03, 10.01.05, 10.01.07, 10.01.09, 10.01.11, 10.01.13 - Verify 6 links in Women's Deals open the correct pages","tests","Sun Aug 17 01:47:23 UTC 2025","passed","Sun Aug 17 01:47:25 UTC 2025","TestSalePage","test_sale","",""
"This test checks if the image in section 1 'home-main' is correct","1117","TC 13.01.04 - Check correctness of the image in section 1 'home-main' in the Promo Block","tests","Sun Aug 17 01:38:40 UTC 2025","passed","Sun Aug 17 01:38:41 UTC 2025","TestMainPage","test_main_page","",""
